epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
64,8203.9,0.60005,0.45955,1.00631,0.78288,0.86936,0.85528,0.63536,0.59278,0.47047,0.92701,0.000627292,0.000627292,0.000627292
65,8331.68,0.6347,0.51643,1.02065,0.83192,0.82512,0.87187,0.6497,0.58684,0.47931,0.92291,0.000610789,0.000610789,0.000610789
66,8460.14,0.59964,0.47601,0.99723,0.74152,0.90848,0.86836,0.63864,0.59558,0.48359,0.918,0.000594286,0.000594286,0.000594286
67,8587.14,0.59223,0.49123,1.00862,0.78765,0.86856,0.87171,0.65137,0.58326,0.46689,0.92335,0.000577782,0.000577782,0.000577782
68,8715.54,0.60472,0.49586,0.9955,0.81806,0.85204,0.87354,0.66075,0.57258,0.46429,0.91095,0.000561279,0.000561279,0.000561279
69,8842.47,0.57902,0.45648,0.99179,0.79473,0.886,0.8778,0.65409,0.57896,0.4623,0.91449,0.000544776,0.000544776,0.000544776
70,8969.03,0.55087,0.44283,0.99358,0.78463,0.89225,0.88315,0.65477,0.58428,0.44883,0.92299,0.000528272,0.000528272,0.000528272
71,9095.64,0.60569,0.44711,1.01795,0.80614,0.86302,0.87986,0.65807,0.57274,0.43271,0.91927,0.000511769,0.000511769,0.000511769
72,9222.75,0.57458,0.46825,0.98583,0.7614,0.89333,0.88359,0.66284,0.55473,0.44791,0.89751,0.000495266,0.000495266,0.000495266
73,9351.06,0.58619,0.4863,0.98244,0.83682,0.81607,0.87952,0.67729,0.54939,0.44789,0.90473,0.000478762,0.000478762,0.000478762
74,9478.35,0.5567,0.43543,0.99011,0.78076,0.89753,0.89523,0.67572,0.56164,0.45118,0.91457,0.000462259,0.000462259,0.000462259
75,9604.88,0.55615,0.46326,0.97961,0.82548,0.87614,0.90048,0.6876,0.54162,0.42211,0.90315,0.000445756,0.000445756,0.000445756
76,9731.95,0.56552,0.46624,0.98543,0.81527,0.88186,0.89474,0.67909,0.54034,0.41314,0.89532,0.000429253,0.000429253,0.000429253
77,9860.03,0.56146,0.43432,0.99557,0.80963,0.88455,0.89675,0.68757,0.53742,0.4185,0.89731,0.000412749,0.000412749,0.000412749
78,9988.15,0.56774,0.46067,0.98965,0.84196,0.90403,0.89583,0.66531,0.55584,0.43666,0.9045,0.000396246,0.000396246,0.000396246
79,10114.9,0.58329,0.44352,0.99594,0.82596,0.91528,0.89803,0.67717,0.55763,0.41358,0.90576,0.000379743,0.000379743,0.000379743
80,10240.9,0.59959,0.44435,0.99907,0.77861,0.93873,0.89585,0.6787,0.54385,0.41688,0.89955,0.000363239,0.000363239,0.000363239
81,10367.7,0.55066,0.46867,0.97005,0.83839,0.89349,0.89943,0.68311,0.53318,0.40839,0.89569,0.000346736,0.000346736,0.000346736
82,10495.1,0.54008,0.42403,0.98583,0.81723,0.89078,0.90564,0.68909,0.5206,0.40659,0.88631,0.000330233,0.000330233,0.000330233
83,10622.2,0.52134,0.41579,0.96603,0.80819,0.91267,0.90605,0.69536,0.51426,0.40279,0.88175,0.000313729,0.000313729,0.000313729
84,10750.4,0.53013,0.42513,0.98151,0.85658,0.86569,0.89739,0.6864,0.52031,0.40382,0.88375,0.000297226,0.000297226,0.000297226
85,10877.3,0.53884,0.43626,0.97996,0.83846,0.8839,0.90027,0.69181,0.51297,0.40085,0.87732,0.000280723,0.000280723,0.000280723
86,11005.3,0.51743,0.41174,0.96835,0.82914,0.89231,0.90294,0.69007,0.51288,0.38993,0.88175,0.00026422,0.00026422,0.00026422
87,11131.6,0.52578,0.427,0.94906,0.85934,0.84103,0.89541,0.68616,0.5091,0.39196,0.88181,0.000247716,0.000247716,0.000247716
88,11258.1,0.53134,0.41382,0.95962,0.85095,0.89037,0.91137,0.70396,0.50156,0.38512,0.87923,0.000231213,0.000231213,0.000231213
89,11385,0.51491,0.41372,0.95573,0.83769,0.90324,0.9135,0.70233,0.50487,0.38074,0.87827,0.00021471,0.00021471,0.00021471
90,11513.4,0.5242,0.41912,0.9739,0.86499,0.83837,0.90447,0.70008,0.49704,0.38289,0.87379,0.000198206,0.000198206,0.000198206
91,11639.4,0.50331,0.41774,0.91805,0.90038,0.84228,0.92015,0.71097,0.49812,0.38227,0.87189,0.000181703,0.000181703,0.000181703
92,11768.2,0.50641,0.3947,0.92024,0.84322,0.91788,0.92067,0.7044,0.50613,0.40257,0.87159,0.0001652,0.0001652,0.0001652
93,11896.7,0.49498,0.39012,0.90921,0.84185,0.91911,0.93161,0.72145,0.49876,0.37934,0.86969,0.000148696,0.000148696,0.000148696
94,12023.1,0.48575,0.38153,0.90689,0.92529,0.85043,0.92555,0.72476,0.48671,0.37311,0.86385,0.000132193,0.000132193,0.000132193
95,12149.6,0.48884,0.36309,0.89072,0.86175,0.87046,0.92842,0.73155,0.47797,0.37315,0.8592,0.00011569,0.00011569,0.00011569
96,12276.7,0.4713,0.35491,0.90179,0.85319,0.9,0.9289,0.73214,0.47304,0.36369,0.85868,9.91865e-05,9.91865e-05,9.91865e-05
97,12404.8,0.46829,0.36581,0.91507,0.86473,0.90423,0.92956,0.73541,0.46719,0.35259,0.85774,8.26832e-05,8.26832e-05,8.26832e-05
98,12532.2,0.46072,0.3487,0.88,0.85308,0.92334,0.92876,0.73613,0.45818,0.35313,0.85357,6.61799e-05,6.61799e-05,6.61799e-05
99,12658.4,0.46632,0.34286,0.90526,0.86328,0.91842,0.92688,0.73876,0.4579,0.3519,0.85184,4.96766e-05,4.96766e-05,4.96766e-05
100,12784.4,0.45649,0.35011,0.89276,0.863,0.92636,0.92558,0.7384,0.45822,0.35164,0.85055,3.31733e-05,3.31733e-05,3.31733e-05
